M,sigma
5.35393692163,8.85459558213e-43
5.42767580461,6.9352487709e-43
5.50243028096,5.70396293835e-43
5.57821433829,4.76831705778e-43
5.65504215684,3.79605256721e-43
5.73292811215,2.92517432234e-43
5.89193292799,2.32872843003e-43
5.97308154051,1.82394676666e-43
6.05534779937,1.42858298319e-43
6.22329504078,1.13729352204e-43
6.30900744858,9.202661279e-44
6.39590035912,7.3262296844e-44
6.57329294783,5.73817572387e-44
6.6638258186,4.64317139974e-44
6.84864941595,3.69642423069e-44
7.03859916201,2.99104316339e-44
7.23381723235,2.38116655026e-44
7.43444974584,1.89564437233e-44
7.74588023292,1.5339024382e-44
8.07035660122,1.18199944436e-44
8.40842534512,9.40988606845e-45
8.88131490814,7.37017294413e-45
9.25335484684,5.77259372018e-45
9.640979608,4.52131022038e-45
10.183187982,3.59941066444e-45
10.7558901369,2.86548732553e-45
11.3608010421,2.31867224646e-45
11.8367071176,1.84589271792e-45
12.6745966535,1.46951339555e-45
13.571798198,1.15097757721e-45
14.7326641408,9.31338882848e-46
15.9928249389,7.53613390805e-46
18.0880198473,6.09802890506e-46
19.9056136261,5.09774266788e-46
23.1378345274,4.1926881367e-46
26.5295084033,3.39260604435e-46
31.6925833845,2.88267472741e-46
36.8387412653,2.53049455959e-46
44.0081610854,2.29489454388e-46
51.1540899054,2.22134070669e-46
58.6525440141,2.22134070669e-46
66.336521801,2.25781812108e-46
77.1080707879,2.37088392235e-46
89.6286754146,2.489611772e-46
111.557138244,2.74520197946e-46
127.90981079,3.02703176167e-46
150.727205201,3.28386937349e-46
177.614916694,3.92823484131e-46
212.181676044,4.33151794326e-46
256.96676902,5.26654096755e-46
306.976692912,6.19816677526e-46
371.770128376,7.17674093619e-46
438.088932204,8.72594795842e-46
530.55617031,1.02695262511e-45
633.811053416,1.24863573064e-45
736.727616193,1.46951339555e-45
892.22838989,1.75786338116e-45
1065.87058511,2.06882097219e-45
1256.00759948,2.51540696524e-45
1459.95479204,2.86548732553e-45
1697.01839041,3.37237827362e-45
2027.28584433,3.90481348536e-45
2488.99901863,4.74772596135e-45
2893.15609726,5.67933142801e-45
3552.07071907,6.79373782981e-45
4185.71248645,7.73925250003e-45
4606.31822657,8.96113516244e-45
5354.27999905,1.02082961466e-44
6139.14046538,1.18199944436e-44
7434.92614142,1.41393303802e-44
9641.59739684,1.86501825384e-44
11676.6451159,2.26761037763e-44
13949.1106793,2.71256407573e-44
17361.8862628,3.24482721438e-44
21609.6281356,4.14284096596e-44
26896.6183218,5.11985180217e-44
32131.13888,6.32727220078e-44
39448.9871094,7.81943990758e-44
49776.7907024,9.98348874678e-44
64550.4429406,1.25405111875e-43
78175.0765218,1.54979540202e-43
95979.4048228,1.88434195193e-43
