10.1369018503,3.54831658667e-27
10.5589556556,3.65249344705e-27
11.4565120161,3.76030968786e-27
12.7730421969,3.98476307629e-27
14.2408620298,4.34591667587e-27
15.6629286413,4.73955890124e-27
17.9442530186,5.47597603042e-27
20.0063248462,6.3261637513e-27
22.9202700998,7.7421938838e-27
26.982527548,9.7528687398e-27
30.4950817956,1.1267657347e-26
33.9994377019,1.26477281516e-26
37.906498228,1.41968310243e-26
42.8411223519,1.59364896667e-26
50.4340376015,1.73844518626e-26
58.5708321491,1.89629970176e-26
67.1017442309,2.1909405347e-26
74.8127710547,2.32171806838e-26
85.7093410546,2.76078823026e-26
98.1930095683,3.37875505459e-26
117.178709449,4.38073927194e-26
132.4328984,5.51758024845e-26
147.651483902,6.75192406204e-26
171.472891949,9.00893646619e-26
188.595863431,1.04071078126e-25
210.268441074,1.31071703706e-25
244.192179609,1.79992711525e-25
287.471403462,2.61832321172e-25
338.421189166,3.92004987068e-25
398.401023189,5.70242954872e-25
450.264407883,7.8299895182e-25
537.323404775,9.86397308019e-25
649.993687482,1.31633047929e-24
786.289579072,1.65835687831e-24
964.186712808,2.1503711105e-24
1198.51922895,2.95373275157e-24
1489.80308802,3.8302663961e-24
1877.23211583,5.11221515483e-24
2430.62278067,7.22826372078e-24
2900.58571224,9.1059379572e-24
3654.89419205,1.18087745175e-23
4302.66671348,1.53099286373e-23
5421.59175476,2.10306797198e-23
6382.48363742,2.64924208686e-23
7826.51338859,3.74504522156e-23
9467.63951164,4.71813241469e-23
11768.6210116,6.29691610244e-23
13854.4240215,8.40226245801e-23
15872.3375278,9.99125071109e-23
19200.5766117,1.41231937132e-22
